Date,BMY
2010-09-29,16.688743591308594
2010-09-30,16.530210494995117
2010-10-01,16.633867263793945
2010-10-04,16.298505783081055
2010-10-05,16.54849624633789
2010-10-06,16.57898712158203
2010-10-07,16.64605712890625
2010-10-08,16.56069564819336
2010-10-11,16.682641983032227
2010-10-12,16.603376388549805
2010-10-13,16.670446395874023
2010-10-14,16.77410316467285
2010-10-15,16.585084915161133
2010-10-18,16.66435432434082
2010-10-19,16.365577697753906
2010-10-20,16.396060943603516
2010-10-21,16.530210494995117
2010-10-22,16.438745498657227
2010-10-25,16.56069564819336
2010-10-26,16.37776756286621
2010-10-27,16.383869171142578
2010-10-28,16.45703887939453
2010-10-29,16.40216636657715
2010-11-01,16.50581169128418
2010-11-02,16.40216636657715
2010-11-03,16.249723434448242
