Date,EMN
2010-09-29,24.491798400878906
2010-09-30,24.648344039916992
2010-10-01,24.838197708129883
2010-10-04,24.67499351501465
2010-10-05,25.37114143371582
2010-10-06,25.321182250976562
2010-10-07,25.574329376220703
2010-10-08,25.95071029663086
2010-10-11,26.100610733032227
2010-10-12,25.937389373779297
2010-10-13,26.203868865966797
2010-10-14,26.004003524780273
2010-10-15,26.147232055664062
2010-10-18,26.270479202270508
2010-10-19,25.704233169555664
2010-10-20,26.337093353271484
2010-10-21,26.437015533447266
2010-10-22,26.180538177490234
2010-10-25,27.50955581665039
2010-10-26,27.146484375
2010-10-27,26.746782302856445
2010-10-28,26.330427169799805
2010-10-29,26.170541763305664
2010-11-01,26.370403289794922
2010-11-02,26.540279388427734
2010-11-03,26.50031280517578
2010-11-04,26.880027770996094
