Date,AEP
2010-09-29,20.74580955505371
2010-09-30,20.614938735961914
2010-10-01,20.6092586517334
2010-10-04,20.597871780395508
2010-10-05,20.677528381347656
2010-10-06,20.63201141357422
2010-10-07,20.51251983642578
2010-10-08,20.592180252075195
2010-10-11,20.649080276489258
2010-10-12,20.404409408569336
2010-10-13,20.387346267700195
2010-10-14,20.364580154418945
2010-10-15,20.449932098388672
2010-10-18,20.671846389770508
2010-10-19,20.77994728088379
2010-10-20,20.950653076171875
2010-10-21,20.996173858642578
2010-10-22,20.882366180419922
2010-10-25,20.74580955505371
2010-10-26,20.859607696533203
2010-10-27,20.967721939086914
2010-10-28,21.17255973815918
2010-10-29,21.30343246459961
2010-11-01,21.21238899230957
2010-11-02,21.41154670715332
2010-11-03,21.366024017333984
