Date,EXPE
2010-09-29,37.602989196777344
2010-09-30,37.36474609375
2010-10-01,36.67647933959961
2010-10-04,35.96174621582031
2010-10-05,37.4573860168457
2010-10-06,36.663246154785156
2010-10-07,37.40446090698242
2010-10-08,37.44415283203125
2010-10-11,37.72212219238281
2010-10-12,36.94119644165039
2010-10-13,37.44415283203125
2010-10-14,36.663246154785156
2010-10-15,36.822078704833984
2010-10-18,36.33234405517578
2010-10-19,35.53820037841797
2010-10-20,35.948516845703125
2010-10-21,36.914730072021484
2010-10-22,37.43092346191406
2010-10-25,37.84123611450195
2010-10-26,37.44415283203125
2010-10-27,38.38389587402344
2010-10-28,38.569210052490234
2010-10-29,38.317718505859375
2010-11-01,37.77505111694336
2010-11-02,37.97359085083008
2010-11-03,37.96036148071289
2010-11-04,35.96174621582031
