Date,MCO
2010-09-29,21.1887149810791
2010-09-30,21.045486450195312
2010-10-01,21.2561092376709
2010-10-04,21.045486450195312
2010-10-05,21.542558670043945
2010-10-06,21.946956634521484
2010-10-07,22.30923080444336
2010-10-08,22.6630802154541
2010-10-11,23.227548599243164
2010-10-12,23.320220947265625
2010-10-13,23.488718032836914
2010-10-14,22.46088218688965
2010-10-15,22.326078414916992
2010-10-18,22.41875648498535
2010-10-19,22.275529861450195
2010-10-20,22.84000015258789
2010-10-21,22.755746841430664
2010-10-22,22.612525939941406
2010-10-25,22.30923080444336
2010-10-26,23.05062484741211
2010-10-27,22.856847763061523
2010-10-28,22.385053634643555
2010-10-29,22.79787826538086
2010-11-01,22.376632690429688
2010-11-02,22.519861221313477
2010-11-03,22.34292984008789
2010-11-04,23.623525619506836
