Date,STLD
2010-09-29,10.027894020080566
2010-09-30,10.013699531555176
2010-10-01,10.389835357666016
2010-10-04,10.14144229888916
2010-10-05,10.16983413696289
2010-10-06,10.191119194030762
2010-10-07,10.16983413696289
2010-10-08,10.396927833557129
2010-10-11,10.368542671203613
2010-10-12,10.489190101623535
2010-10-13,10.474998474121094
2010-10-14,10.240801811218262
2010-10-15,10.184022903442383
2010-10-18,10.325965881347656
2010-10-19,9.971116065979004
2010-10-20,10.233699798583984
2010-10-21,10.184022903442383
2010-10-22,10.162735939025879
2010-10-25,10.340158462524414
2010-10-26,10.219510078430176
2010-10-27,10.262091636657715
2010-10-28,10.254993438720703
2010-10-29,10.318864822387695
2010-11-01,10.40402889251709
2010-11-02,10.680807113647461
2010-11-03,10.815649032592773
