Date,CMI
2010-09-29,63.66524887084961
2010-09-30,63.163211822509766
2010-10-01,63.6722297668457
2010-10-04,62.54255676269531
2010-10-05,64.32077026367188
2010-10-06,65.00413513183594
2010-10-07,64.34861755371094
2010-10-08,64.78795623779297
2010-10-11,64.89254760742188
2010-10-12,64.33470916748047
2010-10-13,64.7251968383789
2010-10-14,65.38067626953125
2010-10-15,65.2969970703125
2010-10-18,63.70012664794922
2010-10-19,62.877288818359375
2010-10-20,64.18827056884766
2010-10-21,65.37372589111328
2010-10-22,65.2900390625
2010-10-25,65.88971710205078
2010-10-26,62.06143569946289
2010-10-27,62.24274826049805
2010-10-28,62.06841278076172
2010-10-29,61.4338493347168
2010-11-01,61.50359344482422
2010-11-02,63.714080810546875
2010-11-03,63.783809661865234
2010-11-04,66.69161987304688
