Date,TRV
2010-09-29,36.85121154785156
2010-09-30,36.92919158935547
2010-10-01,36.943363189697266
2010-10-04,36.943363189697266
2010-10-05,37.474971771240234
2010-10-06,37.43952941894531
2010-10-07,37.29067611694336
2010-10-08,37.432437896728516
2010-10-11,37.53167724609375
2010-10-12,37.43952941894531
2010-10-13,37.85774612426758
2010-10-14,37.8931770324707
2010-10-15,38.01367950439453
2010-10-18,38.55946350097656
2010-10-19,38.10582733154297
2010-10-20,38.729557037353516
2010-10-21,38.97056198120117
2010-10-22,39.055625915527344
2010-10-25,39.402957916259766
2010-10-26,39.00601577758789
2010-10-27,38.79336929321289
2010-10-28,38.80046081542969
2010-10-29,39.12651062011719
2010-11-01,39.53053665161133
2010-11-02,39.35333251953125
2010-11-03,39.62977981567383
2010-11-04,40.5724983215332
