Date,GS
2012-07-24,74.14893341064453
2012-07-25,75.31842803955078
2012-07-26,76.96670532226562
2012-07-27,79.7766342163086
2012-07-30,79.18009948730469
2012-07-31,79.19580078125
2012-08-01,78.56000518798828
2012-08-02,76.77046966552734
2012-08-03,79.25859069824219
2012-08-06,80.07485961914062
2012-08-07,81.03243255615234
2012-08-08,80.45159149169922
2012-08-09,81.31499481201172
2012-08-10,80.85977172851562
2012-08-13,81.32286834716797
2012-08-14,81.04814910888672
2012-08-15,80.94611358642578
2012-08-16,81.22865295410156
2012-08-17,81.31499481201172
2012-08-20,82.63362121582031
2012-08-21,82.66499328613281
2012-08-22,82.15483093261719
2012-08-23,81.69178009033203
2012-08-24,82.3824691772461
2012-08-27,82.508056640625
2012-08-28,82.79972076416016
2012-08-29,83.19389343261719
2012-08-30,82.55532836914062
2012-08-31,83.34369659423828
2012-09-04,83.88764190673828
2012-09-05,86.67048645019531
2012-09-06,89.50852966308594
2012-09-07,91.70800018310547
2012-09-10,90.40724182128906
2012-09-11,91.9918212890625
2012-09-12,93.21375274658203
2012-09-13,95.12940979003906
2012-09-14,95.67338562011719
2012-09-17,94.52241516113281
2012-09-18,94.50665283203125
2012-09-19,93.82865905761719
2012-09-20,92.73284912109375
2012-09-21,92.01547241210938
2012-09-24,91.92084503173828
2012-09-25,89.47700500488281
2012-09-26,89.14588165283203
2012-09-27,90.8408432006836
2012-09-28,89.618896484375
2012-10-01,92.12584686279297
2012-10-02,92.43329620361328
2012-10-03,92.95358276367188
2012-10-04,94.52241516113281
2012-10-05,94.05728149414062
2012-10-08,94.1755142211914
2012-10-09,94.3095474243164
2012-10-10,94.6642837524414
2012-10-11,96.1700210571289
2012-10-12,94.75889587402344
2012-10-15,98.1487808227539
2012-10-16,97.13970184326172
2012-10-17,98.47986602783203
2012-10-18,98.66121673583984
2012-10-19,97.45503234863281
2012-10-22,96.78494262695312
2012-10-23,93.81291198730469
2012-10-24,94.41991424560547
2012-10-25,94.38050842285156
2012-10-26,94.15975952148438
2012-10-31,96.4853744506836
2012-11-01,98.42469024658203
2012-11-02,97.16333770751953
2012-11-05,97.81767272949219
2012-11-06,99.52836608886719
2012-11-07,93.0087890625
2012-11-08,90.87238311767578
2012-11-09,91.56610107421875
2012-11-12,92.4253921508789
2012-11-13,91.81836700439453
2012-11-14,90.06035614013672
2012-11-15,91.00636291503906
2012-11-16,91.32172393798828
2012-11-19,93.26105499267578
2012-11-20,93.09548950195312
2012-11-21,92.78805541992188
2012-11-23,94.84561920166016
2012-11-26,95.34223937988281
2012-11-27,93.3477554321289
2012-11-28,94.47196960449219
2012-11-29,93.99694061279297
2012-11-30,93.25273895263672
2012-12-03,93.73570251464844
2012-12-04,92.29483795166016
2012-12-05,92.73027038574219
2012-12-06,92.78568267822266
2012-12-07,92.28691101074219
2012-12-10,92.63524627685547
2012-12-11,94.09986877441406
2012-12-12,93.49028015136719
2012-12-13,93.81485748291016
2012-12-14,94.4957504272461
2012-12-17,97.76536560058594
2012-12-18,101.15380096435547
2012-12-19,100.74213409423828
2012-12-20,102.69758605957031
2012-12-21,101.6842269897461
2012-12-24,100.97171020507812
2012-12-26,100.67086029052734
2012-12-27,100.28295135498047
2012-12-28,99.37250518798828
2012-12-31,100.987548828125
2013-01-02,104.23344421386719
2013-01-03,103.66345977783203
2013-01-04,106.48973083496094
2013-01-07,106.29183959960938
2013-01-08,105.33390045166016
2013-01-09,106.33935546875
2013-01-10,108.75399017333984
2013-01-11,108.56401062011719
2013-01-14,107.77229309082031
2013-01-15,107.34475708007812
2013-01-16,111.6990966796875
2013-01-17,111.63571166992188
2013-01-18,114.35912322998047
2013-01-22,115.54663848876953
2013-01-23,115.23786926269531
2013-01-24,114.76287078857422
2013-01-25,114.3670654296875
2013-01-28,114.12164306640625
2013-01-29,116.4571304321289
2013-01-30,116.49665069580078
2013-01-31,117.05876159667969
2013-02-01,118.67383575439453
2013-02-04,116.78960418701172
