Date,NTAP
2010-09-29,37.83733367919922
2010-09-30,37.07774353027344
2010-10-01,36.22136306762695
2010-10-04,36.73520278930664
2010-10-05,37.91923904418945
2010-10-06,35.52136993408203
2010-10-07,35.953285217285156
2010-10-08,36.310733795166016
2010-10-11,35.774559020996094
2010-10-12,36.31819534301758
2010-10-13,36.95116424560547
2010-10-14,37.524574279785156
2010-10-15,37.47988510131836
2010-10-18,37.45755386352539
2010-10-19,37.97882080078125
2010-10-20,38.477760314941406
2010-10-21,37.949039459228516
2010-10-22,38.701168060302734
2010-10-25,38.649044036865234
2010-10-26,38.95438766479492
2010-10-27,39.527774810791016
2010-10-28,39.32670211791992
2010-10-29,39.65437698364258
2010-11-01,39.676700592041016
2010-11-02,39.915008544921875
2010-11-03,40.02668762207031
