Date,DTE
2010-09-29,23.221223831176758
2010-09-30,23.105518341064453
2010-10-01,23.3822021484375
2010-10-04,23.311777114868164
2010-10-05,23.648822784423828
2010-10-06,23.573366165161133
2010-10-07,23.558273315429688
2010-10-08,23.754467010498047
2010-10-11,23.86513900756836
2010-10-12,23.633726119995117
2010-10-13,23.689075469970703
2010-10-14,23.58342933654785
2010-10-15,23.699129104614258
2010-10-18,23.779624938964844
2010-10-19,23.593490600585938
2010-10-20,23.78464698791504
2010-10-21,23.63876724243164
2010-10-22,23.60857582092285
2010-10-25,23.553241729736328
2010-10-26,23.668947219848633
2010-10-27,23.67397689819336
2010-10-28,23.769554138183594
2010-10-29,23.523056030273438
2010-11-01,22.974721908569336
2010-11-02,23.296688079833984
2010-11-03,23.311777114868164
2010-11-04,23.69409942626953
