Date,EOG
2010-09-29,33.76923370361328
2010-09-30,33.46327590942383
2010-10-01,34.615074157714844
2010-10-04,34.4531135559082
2010-10-05,35.0326042175293
2010-10-06,35.46092224121094
2010-10-07,35.47532272338867
2010-10-08,35.79927444458008
2010-10-11,35.83525466918945
2010-10-12,35.601318359375
2010-10-13,35.5994987487793
2010-10-14,35.69322967529297
2010-10-15,36.06454086303711
2010-10-18,36.52959442138672
2010-10-19,35.86266326904297
2010-10-20,36.093387603759766
2010-10-21,35.61753463745117
2010-10-22,35.08037567138672
2010-10-25,35.13445281982422
2010-10-26,34.51798629760742
2010-10-27,34.521610260009766
2010-10-28,34.225990295410156
2010-10-29,34.50718688964844
2010-11-01,34.63335037231445
2010-11-02,35.23540496826172
2010-11-03,31.954832077026367
2010-11-04,31.82868194580078
