Date,WYNN
2010-09-29,55.719608306884766
2010-09-30,55.90645217895508
2010-10-01,56.11262893676758
2010-10-04,58.316165924072266
2010-10-05,59.733642578125
2010-10-06,58.09708023071289
2010-10-07,57.51722717285156
2010-10-08,60.4681396484375
2010-10-11,65.57750701904297
2010-10-12,65.95117950439453
2010-10-13,65.84165954589844
2010-10-14,65.455078125
2010-10-15,65.6805648803711
2010-10-18,65.74501037597656
2010-10-19,63.07111358642578
2010-10-20,65.17802429199219
2010-10-21,66.51818084716797
2010-10-22,67.27848052978516
2010-10-25,66.58905029296875
2010-10-26,67.72948455810547
2010-10-27,67.35578918457031
2010-10-28,68.9729995727539
2010-10-29,69.04385375976562
2010-11-01,70.39690399169922
2010-11-02,72.52954864501953
2010-11-03,71.60818481445312
2010-11-04,72.4973373413086
