Date,WMT
2010-09-29,13.028480529785156
2010-09-30,13.06999683380127
2010-10-01,13.03092098236084
2010-10-04,13.08220386505127
2010-10-05,13.18720817565918
2010-10-06,13.323966979980469
2010-10-07,13.275129318237305
2010-10-08,13.287338256835938
2010-10-11,13.336181640625
2010-10-12,13.16767406463623
2010-10-13,13.143259048461914
2010-10-14,13.004057884216309
2010-10-15,13.028480529785156
2010-10-18,13.1286039352417
2010-10-19,13.021149635314941
2010-10-20,13.057781219482422
2010-10-21,13.194540977478027
2010-10-22,13.201864242553711
2010-10-25,13.17500114440918
2010-10-26,13.323966979980469
2010-10-27,13.155467987060547
2010-10-28,13.206748962402344
2010-10-29,13.228731155395508
2010-11-01,13.262921333312988
2010-11-02,13.380136489868164
2010-11-03,13.409438133239746
