Date,DIS
2010-09-29,28.281217575073242
2010-09-30,28.358327865600586
2010-10-01,28.563949584960938
2010-10-04,28.392597198486328
2010-10-05,28.98375129699707
2010-10-06,28.889509201049805
2010-10-07,29.052291870117188
2010-10-08,29.56633186340332
2010-10-11,29.617746353149414
2010-10-12,29.540637969970703
2010-10-13,29.909038543701172
2010-10-14,29.85763168334961
2010-10-15,29.88334083557129
2010-10-18,29.771963119506836
2010-10-19,29.335018157958984
2010-10-20,29.66058349609375
2010-10-21,29.711994171142578
2010-10-22,29.960447311401367
2010-10-25,30.3802547454834
2010-10-26,30.80862808227539
2010-10-27,30.77434730529785
2010-10-28,31.27983283996582
2010-10-29,30.954275131225586
2010-11-01,30.868595123291016
2010-11-02,30.9371395111084
2010-11-03,31.09134864807129
2010-11-04,31.7253360748291
