Date,PFG
2010-09-29,15.567322731018066
2010-09-30,15.549327850341797
2010-10-01,15.549327850341797
2010-10-04,15.41135311126709
2010-10-05,15.927258491516113
2010-10-06,16.101228713989258
2010-10-07,16.017244338989258
2010-10-08,16.413177490234375
2010-10-11,16.329193115234375
2010-10-12,16.203210830688477
2010-10-13,16.209213256835938
2010-10-14,15.999251365661621
2010-10-15,15.885269165039062
2010-10-18,16.149213790893555
2010-10-19,15.753289222717285
2010-10-20,16.107227325439453
2010-10-21,16.251203536987305
2010-10-22,16.239208221435547
2010-10-25,16.335186004638672
2010-10-26,16.263198852539062
2010-10-27,16.353187561035156
2010-10-28,16.257204055786133
2010-10-29,16.101228713989258
2010-11-01,16.19121742248535
2010-11-02,16.497163772583008
2010-11-03,16.899091720581055
