Date,CI
2010-09-29,32.52711486816406
2010-09-30,32.932098388671875
2010-10-01,33.16219711303711
2010-10-04,32.361446380615234
2010-10-05,32.96891403198242
2010-10-06,31.827611923217773
2010-10-07,32.55473709106445
2010-10-08,32.60076141357422
2010-10-11,33.18061447143555
2010-10-12,33.254249572753906
2010-10-13,33.30945587158203
2010-10-14,33.088558197021484
2010-10-15,33.014930725097656
2010-10-18,32.867671966552734
2010-10-19,31.864423751831055
2010-10-20,32.49950408935547
2010-10-21,32.821651458740234
2010-10-22,33.29104995727539
2010-10-25,33.48434829711914
2010-10-26,33.254249572753906
2010-10-27,32.98732376098633
2010-10-28,32.821651458740234
2010-10-29,32.361446380615234
2010-11-01,32.56394577026367
2010-11-02,33.916927337646484
2010-11-03,33.88931655883789
2010-11-04,34.39554214477539
