Date,ELV
2010-09-29,45.32805633544922
2010-09-30,45.739898681640625
2010-10-01,45.3118896484375
2010-10-04,44.3186149597168
2010-10-05,44.61739730834961
2010-10-06,43.88251495361328
2010-10-07,44.463958740234375
2010-10-08,44.423583984375
2010-10-11,44.7304573059082
2010-10-12,44.948509216308594
2010-10-13,45.86911392211914
2010-10-14,46.07907485961914
2010-10-15,46.6605110168457
2010-10-18,47.15312957763672
2010-10-19,45.3118896484375
2010-10-20,46.208290100097656
2010-10-21,45.731834411621094
2010-10-22,46.466697692871094
2010-10-25,46.24058151245117
2010-10-26,45.17461013793945
2010-10-27,44.342838287353516
2010-10-28,44.10057067871094
2010-10-29,43.88251495361328
2010-11-01,44.18937683105469
2010-11-02,45.02117919921875
2010-11-03,45.2634391784668
2010-11-04,45.79643630981445
