Date,EMR
2010-09-29,35.170555114746094
2010-09-30,35.017608642578125
2010-10-01,35.68924331665039
2010-10-04,35.29689025878906
2010-10-05,35.77566909790039
2010-10-06,35.609432220458984
2010-10-07,35.42324447631836
2010-10-08,35.52299880981445
2010-10-11,35.37003707885742
2010-10-12,35.243709564208984
2010-10-13,35.84883117675781
2010-10-14,35.842166900634766
2010-10-15,35.68924331665039
2010-10-18,35.78899383544922
2010-10-19,35.084102630615234
2010-10-20,35.89537811279297
2010-10-21,36.44065856933594
2010-10-22,36.24782943725586
2010-10-25,36.54039764404297
2010-10-26,36.43400192260742
2010-10-27,36.20126724243164
2010-10-28,36.46061706542969
2010-10-29,36.50714874267578
2010-11-01,37.21867370605469
2010-11-02,36.3874626159668
2010-11-03,36.29437255859375
2010-11-04,37.73735427856445
