Date,SO
2010-09-29,19.63450050354004
2010-09-30,19.540056228637695
2010-10-01,19.487577438354492
2010-10-04,19.62925148010254
2010-10-05,19.828641891479492
2010-10-06,19.802404403686523
2010-10-07,19.828641891479492
2010-10-08,19.786664962768555
2010-10-11,19.697467803955078
2010-10-12,19.671226501464844
2010-10-13,19.681726455688477
2010-10-14,19.702709197998047
2010-10-15,19.770919799804688
2010-10-18,19.912586212158203
2010-10-19,19.8706111907959
2010-10-20,19.94406509399414
2010-10-21,20.007030487060547
2010-10-22,20.106731414794922
2010-10-25,20.033266067504883
2010-10-26,20.08574867248535
2010-10-27,20.096237182617188
2010-10-28,20.077651977539062
2010-10-29,20.109514236450195
2010-11-01,19.955522537231445
2010-11-02,20.167919158935547
2010-11-03,20.130756378173828
