Date,HD
2010-09-29,22.488325119018555
2010-09-30,22.396427154541016
2010-10-01,22.495393753051758
2010-10-04,22.389352798461914
2010-10-05,22.4388484954834
2010-10-06,22.4388484954834
2010-10-07,22.4388484954834
2010-10-08,22.54488182067871
2010-10-11,22.474191665649414
2010-10-12,22.205535888671875
2010-10-13,21.915691375732422
2010-10-14,21.78136444091797
2010-10-15,21.70360565185547
2010-10-18,21.583419799804688
2010-10-19,21.498580932617188
2010-10-20,21.724811553955078
2010-10-21,22.488325119018555
2010-10-22,22.255029678344727
2010-10-25,22.198467254638672
2010-10-26,22.120702743530273
2010-10-27,21.84499740600586
2010-10-28,22.050012588500977
2010-10-29,21.84499740600586
2010-11-01,21.710674285888672
2010-11-02,22.276241302490234
2010-11-03,22.240886688232422
