Date,ATO
2010-09-29,19.211654663085938
2010-09-30,19.37059783935547
2010-10-01,19.469934463500977
2010-10-04,19.469934463500977
2010-10-05,19.489805221557617
2010-10-06,19.45006561279297
2010-10-07,19.469934463500977
2010-10-08,19.430192947387695
2010-10-11,19.397090911865234
2010-10-12,19.28450584411621
2010-10-13,19.35734748840332
2010-10-14,19.324241638183594
2010-10-15,19.324241638183594
2010-10-18,19.383838653564453
2010-10-19,19.324241638183594
2010-10-20,19.40370750427246
2010-10-21,19.297744750976562
2010-10-22,19.27788543701172
2010-10-25,19.27126121520996
2010-10-26,19.337486267089844
2010-10-27,19.410329818725586
2010-10-28,19.529531478881836
2010-10-29,19.50304412841797
2010-11-01,19.556020736694336
2010-11-02,19.72820281982422
2010-11-03,19.74144744873047
