Date,HAL
2010-09-29,26.217815399169922
2010-09-30,25.95878791809082
2010-10-01,26.162872314453125
2010-10-04,25.92737579345703
2010-10-05,26.735902786254883
2010-10-06,26.665258407592773
2010-10-07,26.390512466430664
2010-10-08,27.261823654174805
2010-10-11,27.12837791442871
2010-10-12,27.348167419433594
2010-10-13,27.968294143676758
2010-10-14,27.536561965942383
2010-10-15,28.117431640625
2010-10-18,26.759441375732422
2010-10-19,26.045137405395508
2010-10-20,26.523956298828125
2010-10-21,26.469003677368164
2010-10-22,26.830081939697266
2010-10-25,26.908578872680664
2010-10-26,27.308916091918945
2010-10-27,27.018484115600586
2010-10-28,24.867679595947266
2010-10-29,25.008974075317383
2010-11-01,24.663593292236328
2010-11-02,24.647890090942383
2010-11-03,24.875532150268555
2010-11-04,25.786087036132812
