Date,FRT
2010-09-29,49.327781677246094
2010-09-30,49.291561126708984
2010-10-01,49.4364128112793
2010-10-04,50.04610061645508
2010-10-05,50.854942321777344
2010-10-06,50.19095993041992
2010-10-07,50.04610061645508
2010-10-08,49.88914108276367
2010-10-11,49.73220443725586
2010-10-12,49.53300476074219
2010-10-13,49.671852111816406
2010-10-14,49.563201904296875
2010-10-15,49.502838134765625
2010-10-18,49.901214599609375
2010-10-19,49.58129119873047
2010-10-20,50.432411193847656
2010-10-21,50.89113998413086
2010-10-22,50.86700439453125
2010-10-25,50.897178649902344
2010-10-26,50.26340103149414
2010-10-27,49.738243103027344
2010-10-28,49.36402130126953
2010-10-29,49.48470687866211
2010-11-01,50.09437942504883
2010-11-02,50.09437942504883
2010-11-03,49.768428802490234
2010-11-04,49.563201904296875
