Date,MGM
2010-09-29,10.606852531433105
2010-09-30,10.654078483581543
2010-10-01,10.625743865966797
2010-10-04,10.729639053344727
2010-10-05,11.060218811035156
2010-10-06,10.975211143493652
2010-10-07,11.060218811035156
2010-10-08,12.807563781738281
2010-10-11,12.732001304626465
2010-10-12,12.85478687286377
2010-10-13,11.42857837677002
2010-10-14,10.918539047241211
2010-10-15,10.446288108825684
2010-10-18,10.55018138885498
2010-10-19,10.18182373046875
2010-10-20,10.342388153076172
2010-10-21,10.389616012573242
2010-10-22,10.616296768188477
2010-10-25,10.380170822143555
2010-10-26,10.361281394958496
2010-10-27,10.314054489135742
2010-10-28,10.389616012573242
2010-10-29,10.32349967956543
2010-11-01,10.314054489135742
2010-11-02,10.531291007995605
2010-11-03,11.626925468444824
2010-11-04,11.636367797851562
