Date,D
2010-09-29,23.845855712890625
2010-09-30,23.688514709472656
2010-10-01,23.889259338378906
2010-10-04,23.813291549682617
2010-10-05,24.18766975402832
2010-10-06,24.138837814331055
2010-10-07,24.14969253540039
2010-10-08,24.241933822631836
2010-10-11,24.24735450744629
2010-10-12,24.04659652709961
2010-10-13,24.171388626098633
2010-10-14,24.214805603027344
2010-10-15,24.165969848632812
2010-10-18,24.37213897705078
2010-10-19,24.144262313842773
2010-10-20,24.252782821655273
2010-10-21,24.274477005004883
2010-10-22,24.14969253540039
2010-10-25,24.122556686401367
2010-10-26,23.894681930541992
2010-10-27,23.77532196044922
2010-10-28,23.845855712890625
2010-10-29,23.579998016357422
2010-11-01,23.053701400756836
2010-11-02,23.23274803161621
2010-11-03,23.259878158569336
2010-11-04,23.617979049682617
