Date,MA
2010-09-29,20.538543701171875
2010-09-30,20.664928436279297
2010-10-01,20.73689079284668
2010-10-04,20.539464950561523
2010-10-05,20.840211868286133
2010-10-06,20.6003475189209
2010-10-07,20.388959884643555
2010-10-08,20.54865264892578
2010-10-11,20.57358169555664
2010-10-12,20.506193161010742
2010-10-13,21.31488037109375
2010-10-14,21.47828483581543
2010-10-15,21.574291229248047
2010-10-18,21.73583221435547
2010-10-19,21.883548736572266
2010-10-20,22.20388412475586
2010-10-21,22.45036506652832
2010-10-22,22.39958953857422
2010-10-25,22.63131332397461
2010-10-26,22.480825424194336
2010-10-27,22.687620162963867
2010-10-28,22.11156463623047
2010-10-29,22.161426544189453
2010-11-01,22.06264305114746
2010-11-02,22.707927703857422
2010-11-03,23.247982025146484
2010-11-04,23.530467987060547
