Date,NOC
2010-09-29,40.4344482421875
2010-09-30,40.723270416259766
2010-10-01,40.52175521850586
2010-10-04,40.374000549316406
2010-10-05,41.67704391479492
2010-10-06,41.697181701660156
2010-10-07,41.73749542236328
2010-10-08,41.838233947753906
2010-10-11,41.65017318725586
2010-10-12,41.48225402832031
2010-10-13,41.771080017089844
2010-10-14,41.529273986816406
2010-10-15,41.55613708496094
2010-10-18,41.38822555541992
2010-10-19,40.588932037353516
2010-10-20,41.072540283203125
2010-10-21,41.45537567138672
2010-10-22,41.57628631591797
2010-10-25,40.911338806152344
2010-10-26,41.20688247680664
2010-10-27,41.227020263671875
2010-10-28,41.804656982421875
2010-10-29,42.462890625
2010-11-01,42.65767288208008
2010-11-02,43.38306427001953
2010-11-03,43.17485046386719
2010-11-04,43.83980941772461
