Date,EBAY
2010-09-28,9.37756633758545
2010-09-29,9.422810554504395
2010-09-30,9.20034408569336
2010-10-01,9.222970962524414
2010-10-04,9.079682350158691
2010-10-05,9.271986961364746
2010-10-06,9.219195365905762
2010-10-07,9.332316398620605
2010-10-08,9.279526710510254
2010-10-11,9.158867835998535
2010-10-12,9.219195365905762
2010-10-13,9.37756633758545
2010-10-14,9.5321626663208
2010-10-15,9.68298625946045
2010-10-18,9.698066711425781
2010-10-19,9.626422882080078
2010-10-20,9.675443649291992
2010-10-21,10.256122589111328
2010-10-22,10.584166526794434
2010-10-25,10.531378746032715
2010-10-26,10.840569496154785
2010-10-27,11.040413856506348
2010-10-28,11.206324577331543
2010-10-29,11.259111404418945
2010-11-01,11.070578575134277
2010-11-02,11.338290214538574
2010-11-03,11.353374481201172
