Date,SCHW
2010-09-29,11.568597793579102
2010-09-30,11.527132034301758
2010-10-01,11.717872619628906
2010-10-04,11.62664794921875
2010-10-05,11.90860652923584
2010-10-06,11.817387580871582
2010-10-07,11.734457015991211
2010-10-08,11.775919914245605
2010-10-11,11.593478202819824
2010-10-12,11.634941101074219
2010-10-13,11.668113708496094
2010-10-14,11.684699058532715
2010-10-15,12.032999992370605
2010-10-18,12.431058883666992
2010-10-19,12.273497581481934
2010-10-20,12.339838027954102
2010-10-21,12.339838027954102
2010-10-22,12.422767639160156
2010-10-25,12.439352035522461
2010-10-26,12.480816841125488
2010-10-27,12.870583534240723
2010-10-28,12.804240226745605
2010-10-29,12.779364585876465
2010-11-01,12.795947074890137
2010-11-02,12.762778282165527
2010-11-03,12.84570026397705
