Date,GD
2010-09-29,44.44775390625
2010-09-30,44.27154541015625
2010-10-01,44.02484893798828
2010-10-04,43.52440643310547
2010-10-05,44.6944694519043
2010-10-06,45.15565872192383
2010-10-07,44.793800354003906
2010-10-08,44.96407699584961
2010-10-11,44.793800354003906
2010-10-12,44.96407699584961
2010-10-13,45.45366668701172
2010-10-14,44.82218933105469
2010-10-15,45.3614387512207
2010-10-18,45.67363357543945
2010-10-19,44.67316818237305
2010-10-20,45.29047393798828
2010-10-21,45.80135726928711
2010-10-22,45.765872955322266
2010-10-25,45.45366668701172
2010-10-26,45.474971771240234
2010-10-27,46.41865539550781
2010-10-28,48.09319305419922
2010-10-29,48.33447265625
2010-11-01,48.14995574951172
2010-11-02,48.2421989440918
2010-11-03,48.213802337646484
2010-11-04,49.07946014404297
