Date,WEC
2010-09-29,17.83304214477539
2010-09-30,17.793031692504883
2010-10-01,17.93463897705078
2010-10-04,17.820737838745117
2010-10-05,18.030067443847656
2010-10-06,17.910003662109375
2010-10-07,17.90077781677246
2010-10-08,17.922313690185547
2010-10-11,17.91616439819336
2010-10-12,17.845365524291992
2010-10-13,17.89153480529785
2010-10-14,17.869985580444336
2010-10-15,18.030067443847656
2010-10-18,18.079317092895508
2010-10-19,18.060850143432617
2010-10-20,18.334819793701172
2010-10-21,18.334819793701172
2010-10-22,18.313278198242188
2010-10-25,18.334819793701172
2010-10-26,18.347135543823242
2010-10-27,18.239391326904297
2010-10-28,18.37484359741211
2010-10-29,18.328664779663086
2010-11-01,18.356374740600586
2010-11-02,18.433334350585938
2010-11-03,18.31635284423828
