Date,SRE
2010-09-29,16.873897552490234
2010-09-30,16.89588165283203
2010-10-01,17.00894546508789
2010-10-04,16.861337661743164
2010-10-05,17.012073516845703
2010-10-06,16.986949920654297
2010-10-07,16.924150466918945
2010-10-08,16.880184173583984
2010-10-11,16.795381546020508
2010-10-12,16.83306884765625
2010-10-13,16.792251586914062
2010-10-14,16.70745086669922
2010-10-15,16.748279571533203
2010-10-18,16.92101287841797
2010-10-19,16.770267486572266
2010-10-20,16.892742156982422
2010-10-21,16.754558563232422
2010-10-22,16.80794334411621
2010-10-25,16.892742156982422
2010-10-26,16.748279571533203
2010-10-27,16.68861198425293
2010-10-28,16.798526763916016
2010-10-29,16.795381546020508
2010-11-01,16.68861198425293
2010-11-02,16.924150466918945
2010-11-03,16.848779678344727
