Date,ITW
2010-09-29,33.05541229248047
2010-09-30,33.20370101928711
2010-10-01,33.373191833496094
2010-10-04,33.0483512878418
2010-10-05,33.96635437011719
2010-10-06,34.10758972167969
2010-10-07,34.10053253173828
2010-10-08,34.199405670166016
2010-10-11,34.10053253173828
2010-10-12,34.08641052246094
2010-10-13,34.43243408203125
2010-10-14,34.5948486328125
2010-10-15,34.573665618896484
2010-10-18,34.72901153564453
2010-10-19,32.82238006591797
2010-10-20,32.878875732421875
2010-10-21,33.217830657958984
2010-10-22,32.97068786621094
2010-10-25,33.147216796875
2010-10-26,32.58935546875
2010-10-27,32.65997314453125
2010-10-28,32.42692565917969
2010-10-29,32.2574577331543
2010-11-01,32.645835876464844
2010-11-02,32.829444885253906
2010-11-03,32.70232009887695
2010-11-04,33.81806564331055
