Date,TT
2010-09-29,17.470136642456055
2010-09-30,17.465248107910156
2010-10-01,17.563064575195312
2010-10-04,17.636428833007812
2010-10-05,18.174413681030273
2010-10-06,18.66840171813965
2010-10-07,18.771100997924805
2010-10-08,18.90315818786621
2010-10-11,18.87870979309082
2010-10-12,18.87870979309082
2010-10-13,19.10857582092285
2010-10-14,18.97652244567871
2010-10-15,18.94717788696289
2010-10-18,18.996078491210938
2010-10-19,18.580360412597656
2010-10-20,18.795560836791992
2010-10-21,19.054777145385742
2010-10-22,19.24551773071289
2010-10-25,19.499845504760742
2010-10-26,19.406911849975586
2010-10-27,19.24551773071289
2010-10-28,19.118356704711914
2010-10-29,19.225954055786133
2010-11-01,19.397132873535156
2010-11-02,19.323774337768555
2010-11-03,19.377574920654297
2010-11-04,19.856874465942383
