Date,WSM
2010-09-29,11.498576164245605
2010-09-30,11.232820510864258
2010-10-01,11.169037818908691
2010-10-04,11.133602142333984
2010-10-05,11.349753379821777
2010-10-06,11.211555480957031
2010-10-07,11.204473495483398
2010-10-08,11.204473495483398
2010-10-11,11.74307918548584
2010-10-12,11.891904830932617
2010-10-13,12.069079399108887
2010-10-14,11.79268741607666
2010-10-15,11.888361930847168
2010-10-18,11.93442440032959
2010-10-19,11.456056594848633
2010-10-20,11.647401809692383
2010-10-21,11.342667579650879
2010-10-22,11.31431770324707
2010-10-25,11.403322219848633
2010-10-26,11.549291610717773
2010-10-27,11.478087425231934
2010-10-28,11.53861141204834
2010-10-29,11.524368286132812
2010-11-01,11.695259094238281
2010-11-02,12.122485160827637
2010-11-03,12.225728988647461
