Date,EXC
2010-09-29,17.146148681640625
2010-09-30,17.050048828125
2010-10-01,17.23023796081543
2010-10-04,17.102102279663086
2010-10-05,17.182178497314453
2010-10-06,17.158161163330078
2010-10-07,17.18618392944336
2010-10-08,17.298303604125977
2010-10-11,17.298303604125977
2010-10-12,17.23023796081543
2010-10-13,17.294294357299805
2010-10-14,17.226234436035156
2010-10-15,17.278289794921875
2010-10-18,17.622650146484375
2010-10-19,17.51453399658203
2010-10-20,17.730770111083984
2010-10-21,17.426441192626953
2010-10-22,16.81779670715332
2010-10-25,16.54951286315918
2010-10-26,16.457420349121094
2010-10-27,16.38934898376465
2010-10-28,16.40937042236328
2010-10-29,16.34530258178711
2010-11-01,16.37733268737793
2010-11-02,16.425384521484375
2010-11-03,16.317270278930664
2010-11-04,16.48545265197754
