Date,MCK
2010-09-29,55.24925231933594
2010-09-30,55.08876419067383
2010-10-01,54.12572479248047
2010-10-04,53.394554138183594
2010-10-05,54.589412689208984
2010-10-06,53.78687286376953
2010-10-07,53.96523666381836
2010-10-08,54.19707107543945
2010-10-11,54.312992095947266
2010-10-12,54.62508010864258
2010-10-13,55.668373107910156
2010-10-14,55.27601623535156
2010-10-15,55.623756408691406
2010-10-18,55.828861236572266
2010-10-19,54.57158279418945
2010-10-20,54.464576721191406
2010-10-21,54.66967010498047
2010-10-22,54.464576721191406
2010-10-25,54.999576568603516
2010-10-26,55.204673767089844
2010-10-27,58.31668472290039
2010-10-28,57.98677444458008
2010-10-29,58.833866119384766
2010-11-01,60.52806854248047
2010-11-02,59.69883346557617
2010-11-03,60.091148376464844
2010-11-04,59.787960052490234
