Date,MMM
2010-09-29,46.40069580078125
2010-09-30,46.15584182739258
2010-10-01,46.64023208618164
2010-10-04,46.150508880615234
2010-10-05,47.30027389526367
2010-10-06,47.848548889160156
2010-10-07,47.32155990600586
2010-10-08,47.4599723815918
2010-10-11,46.975563049316406
2010-10-12,46.922340393066406
2010-10-13,47.4493293762207
2010-10-14,47.41205978393555
2010-10-15,47.4493293762207
2010-10-18,47.726112365722656
2010-10-19,47.13525390625
2010-10-20,47.62499237060547
2010-10-21,48.19985580444336
2010-10-22,48.141326904296875
2010-10-25,48.38616180419922
2010-10-26,48.15729522705078
2010-10-27,48.10403823852539
2010-10-28,45.282867431640625
2010-10-29,44.83039474487305
2010-11-01,44.70263671875
2010-11-02,45.139122009277344
2010-11-03,45.40528106689453
2010-11-04,46.33149337768555
