Date,CTSH
2010-09-29,28.96051025390625
2010-09-30,28.83081817626953
2010-10-01,29.425596237182617
2010-10-04,28.911317825317383
2010-10-05,29.48819923400879
2010-10-06,28.92920684814453
2010-10-07,28.75480079650879
2010-10-08,28.710081100463867
2010-10-11,28.45071029663086
2010-10-12,28.99181365966797
2010-10-13,29.24671173095703
2010-10-14,29.063365936279297
2010-10-15,29.761001586914062
2010-10-18,29.734161376953125
2010-10-19,29.081249237060547
2010-10-20,29.57317352294922
2010-10-21,29.998016357421875
2010-10-22,30.39154624938965
2010-10-25,30.07850456237793
2010-10-26,29.91750717163086
2010-10-27,29.519515991210938
2010-10-28,30.042724609375
2010-10-29,29.152803421020508
2010-11-01,29.085731506347656
2010-11-02,29.313796997070312
2010-11-03,28.73691177368164
