Date,NDAQ
2010-10-14,5.37684440612793
2010-10-15,5.363375186920166
2010-10-18,5.514227390289307
2010-10-19,5.433413028717041
2010-10-20,5.554635047912598
2010-10-21,5.516922473907471
2010-10-22,5.565409183502197
2010-10-25,5.630061626434326
2010-10-26,5.6165924072265625
2010-10-27,5.665080547332764
2010-10-28,5.630061626434326
2010-10-29,5.68663215637207
2010-11-01,5.68663215637207
2010-11-02,5.791691780090332
2010-11-03,5.7943830490112305
2010-11-04,5.8967485427856445
2010-11-05,5.980257034301758
2010-11-08,5.9263811111450195
2010-11-09,5.850954055786133
2010-11-10,5.89944314956665
2010-11-11,5.85634183883667
2010-11-12,5.7943830490112305
2010-11-15,5.813241004943848
2010-11-16,5.732426643371582
2010-11-17,5.724344730377197
2010-11-18,5.880585670471191
2010-11-19,5.9156060218811035
2010-11-22,5.810548305511475
2010-11-23,5.721652507781982
2010-11-24,5.797078609466553
2010-11-26,5.7943830490112305
2010-11-29,5.786302089691162
2010-11-30,5.783607482910156
2010-12-01,6.079927921295166
2010-12-02,6.263106346130371
2010-12-03,6.096090316772461
2010-12-06,6.14457893371582
2010-12-07,6.106865406036377
2010-12-08,6.109559059143066
2010-12-09,6.096090316772461
2010-12-10,6.152660846710205
2010-12-13,6.117641448974609
2010-12-14,6.05568265914917
2010-12-15,6.069152355194092
2010-12-16,6.319677352905273
2010-12-17,6.3304524421691895
2010-12-20,6.327758312225342
2010-12-21,6.508243560791016
2010-12-22,6.508243560791016
2010-12-23,6.416653633117676
2010-12-27,6.448979377746582
2010-12-28,6.4139604568481445
2010-12-29,6.457062244415283
2010-12-30,6.408573627471924
2010-12-31,6.392409324645996
2011-01-03,6.494774341583252
2011-01-04,6.443591594696045
2011-01-05,6.370859622955322
2011-01-06,6.343921661376953
2011-01-07,6.298126220703125
2011-01-10,6.319677352905273
2011-01-11,6.403184413909912
2011-01-12,6.454367160797119
2011-01-13,6.494774341583252
2011-01-14,6.56481409072876
2011-01-18,6.572895050048828
2011-01-19,6.405879020690918
2011-01-20,6.467834949493408
2011-01-21,6.545957565307617
2011-01-24,6.615995407104492
2011-01-25,6.545957565307617
2011-01-26,6.602529048919678
2011-01-27,6.791093826293945
2011-01-28,6.599833011627197
2011-01-31,6.59444522857666
2011-02-01,6.823418140411377
2011-02-02,7.141287326812744
2011-02-03,7.041615962982178
2011-02-04,7.154757976531982
2011-02-07,7.214022159576416
2011-02-08,6.960803985595703
2011-02-09,7.429524898529053
2011-02-10,7.494177341461182
2011-02-11,7.574990749359131
2011-02-14,7.9844512939453125
2011-02-15,7.618094444274902
2011-02-16,7.669275283813477
2011-02-17,7.73931360244751
2011-02-18,7.8362932205200195
2011-02-22,7.542666912078857
2011-02-23,7.542666912078857
2011-02-24,7.5480546951293945
2011-02-25,7.65311336517334
2011-02-28,7.706989765167236
2011-03-01,7.456462383270264
2011-03-02,7.499566555023193
2011-03-03,7.647721767425537
2011-03-04,7.5480546951293945
2011-03-07,7.6073150634765625
2011-03-08,7.6450300216674805
2011-03-09,7.475322246551514
2011-03-10,7.267898082733154
2011-03-11,7.324468612670898
2011-03-14,7.103577136993408
2011-03-15,6.95541524887085
