Date,EFX
2010-09-29,26.265783309936523
2010-09-30,26.35871696472168
2010-10-01,26.28268051147461
2010-10-04,25.970094680786133
2010-10-05,26.544570922851562
2010-10-06,26.536130905151367
2010-10-07,26.56992530822754
2010-10-08,26.654407501220703
2010-10-11,26.561477661132812
2010-10-12,26.536130905151367
2010-10-13,27.01768684387207
2010-10-14,26.94164276123047
2010-10-15,27.119056701660156
2010-10-18,27.355613708496094
2010-10-19,27.1021728515625
2010-10-20,27.397859573364258
2010-10-21,27.609067916870117
2010-10-22,27.642850875854492
2010-10-25,27.89630699157715
2010-10-26,27.92165184020996
2010-10-27,27.38941192626953
2010-10-28,27.61751365661621
2010-10-29,27.98923110961914
2010-11-01,28.403202056884766
2010-11-02,28.749589920043945
2010-11-03,28.977693557739258
2010-11-04,29.518388748168945
