Date,ALL
2010-09-29,22.67128562927246
2010-09-30,22.67128562927246
2010-10-01,22.685651779174805
2010-10-04,22.77906608581543
2010-10-05,23.2677001953125
2010-10-06,23.080881118774414
2010-10-07,23.138357162475586
2010-10-08,23.29645347595215
2010-10-11,23.303634643554688
2010-10-12,23.368310928344727
2010-10-13,23.67011070251465
2010-10-14,23.476091384887695
2010-10-15,23.303634643554688
2010-10-18,23.39705467224121
2010-10-19,23.138357162475586
2010-10-20,23.425792694091797
2010-10-21,23.39705467224121
2010-10-22,23.56232452392578
2010-10-25,23.792278289794922
2010-10-26,23.476091384887695
2010-10-27,23.339561462402344
2010-10-28,21.866479873657227
2010-10-29,21.909591674804688
2010-11-01,21.686824798583984
2010-11-02,21.78023910522461
2010-11-03,21.53592300415039
