Date,SW
2010-09-28,6.805352210998535
2010-09-29,6.805352210998535
2010-09-30,6.805352210998535
2010-10-01,6.805352210998535
2010-10-04,7.01054048538208
2010-10-05,7.01054048538208
2010-10-06,7.01054048538208
2010-10-07,7.01054048538208
2010-10-08,7.01054048538208
2010-10-11,7.01054048538208
2010-10-12,7.01054048538208
2010-10-13,7.01054048538208
2010-10-14,7.01054048538208
2010-10-15,7.01054048538208
2010-10-18,7.01054048538208
2010-10-19,7.01054048538208
2010-10-20,7.01054048538208
2010-10-21,7.01054048538208
2010-10-22,7.01054048538208
2010-10-25,7.270442008972168
2010-10-26,7.270442008972168
2010-10-27,7.270442008972168
2010-10-28,7.270442008972168
2010-10-29,7.270442008972168
2010-11-01,7.270442008972168
2010-11-02,7.270442008972168
2010-11-03,7.270442008972168
