Date,WM
2010-09-29,24.807157516479492
2010-09-30,24.731037139892578
2010-10-01,24.862520217895508
2010-10-04,24.737958908081055
2010-10-05,25.1877384185791
2010-10-06,25.291534423828125
2010-10-07,25.028583526611328
2010-10-08,25.153146743774414
2010-10-11,25.215425491333008
2010-10-12,25.27770233154297
2010-10-13,25.596006393432617
2010-10-14,25.5406436920166
2010-10-15,25.333053588867188
2010-10-18,25.236175537109375
2010-10-19,25.00091552734375
2010-10-20,25.284618377685547
2010-10-21,25.409175872802734
2010-10-22,25.457618713378906
2010-10-25,25.519880294799805
2010-10-26,25.256940841674805
2010-10-27,24.97323226928711
2010-10-28,25.00091552734375
2010-10-29,24.71720314025879
2010-11-01,24.59956169128418
2010-11-02,24.827922821044922
2010-11-03,24.876359939575195
2010-11-04,24.82098960876465
