Date,FE
2010-09-29,19.769468307495117
2010-09-30,19.769468307495117
2010-10-01,19.949007034301758
2010-10-04,19.78485870361328
2010-10-05,19.913105010986328
2010-10-06,19.810501098632812
2010-10-07,19.72842025756836
2010-10-08,19.733558654785156
2010-10-11,19.718172073364258
2010-10-12,19.672008514404297
2010-10-13,19.949007034301758
2010-10-14,19.82589340209961
2010-10-15,19.969524383544922
2010-10-18,20.225997924804688
2010-10-19,20.225997924804688
2010-10-20,20.34911346435547
2010-10-21,20.174707412719727
2010-10-22,19.246253967285156
2010-10-25,19.046192169189453
2010-10-26,18.6973876953125
2010-10-27,18.59990882873535
2010-10-28,18.553754806518555
2010-10-29,18.630695343017578
2010-11-01,18.502456665039062
2010-11-02,18.902563095092773
2010-11-03,18.678651809692383
