Date,AOS
2010-09-27,7.606265068054199
2010-09-28,7.75358772277832
2010-09-29,7.712440013885498
2010-09-30,7.6832451820373535
2010-10-01,7.663337230682373
2010-10-04,7.554502010345459
2010-10-05,7.789418697357178
2010-10-06,7.810657024383545
2010-10-07,7.835873603820801
2010-10-08,7.8902907371521
2010-10-11,7.788093090057373
2010-10-12,7.6951904296875
2010-10-13,7.83720064163208
2010-10-14,7.732348918914795
2010-10-15,7.733677387237549
2010-10-18,7.652717113494873
2010-10-19,7.512035369873047
2010-10-20,7.574411392211914
2010-10-21,7.623520374298096
2010-10-22,7.636791229248047
2010-10-25,7.558486461639404
2010-10-26,7.523975372314453
2010-10-27,7.5133233070373535
2010-10-28,7.442719459533691
2010-10-29,7.464031219482422
2010-11-01,7.454705715179443
2010-11-02,7.619892120361328
