Date,SNA
2010-09-29,33.573726654052734
2010-09-30,33.725990295410156
2010-10-01,33.82026672363281
2010-10-04,33.573726654052734
2010-10-05,34.400367736816406
2010-10-06,34.298858642578125
2010-10-07,34.11756134033203
2010-10-08,34.33510208129883
2010-10-11,34.52363967895508
2010-10-12,34.58164596557617
2010-10-13,35.14725875854492
2010-10-14,34.994972229003906
2010-10-15,35.1762580871582
2010-10-18,35.35028839111328
2010-10-19,34.480125427246094
2010-10-20,35.05299377441406
2010-10-21,35.379302978515625
2010-10-22,36.25672912597656
2010-10-25,36.57577133178711
2010-10-26,36.61928176879883
2010-10-27,36.198707580566406
2010-10-28,36.626529693603516
2010-10-29,36.98185348510742
2010-11-01,37.05435562133789
2010-11-02,37.52568817138672
2010-11-03,37.540199279785156
2010-11-04,38.46112060546875
