Date,UNH
2010-09-29,28.06510353088379
2010-09-30,27.99334716796875
2010-10-01,28.248483657836914
2010-10-04,27.538875579833984
2010-10-05,27.961442947387695
2010-10-06,27.06847381591797
2010-10-07,27.379411697387695
2010-10-08,27.387393951416016
2010-10-11,27.626577377319336
2010-10-12,27.921588897705078
2010-10-13,28.160776138305664
2010-10-14,28.52754020690918
2010-10-15,28.686996459960938
2010-10-18,28.90226173400879
2010-10-19,28.14483070373535
2010-10-20,29.284975051879883
2010-10-21,29.09362030029297
2010-10-22,29.707555770874023
2010-10-25,29.946752548217773
2010-10-26,29.95470428466797
2010-10-27,28.64714241027832
2010-10-28,28.90226173400879
2010-10-29,28.742816925048828
2010-11-01,28.790651321411133
2010-11-02,29.500247955322266
2010-11-03,29.22916603088379
2010-11-04,29.34078598022461
