Date,MRK
2010-09-29,21.738019943237305
2010-09-30,21.556482315063477
2010-10-01,21.433509826660156
2010-10-04,21.38666343688965
2010-10-05,21.679473876953125
2010-10-06,21.673612594604492
2010-10-07,21.497926712036133
2010-10-08,21.615049362182617
2010-10-11,21.585769653320312
2010-10-12,21.456924438476562
2010-10-13,21.761449813842773
2010-10-14,21.75560188293457
2010-10-15,21.63847541809082
2010-10-18,21.802446365356445
2010-10-19,21.38666343688965
2010-10-20,21.661897659301758
2010-10-21,21.726314544677734
2010-10-22,21.726314544677734
2010-10-25,21.913713455200195
2010-10-26,21.7087459564209
2010-10-27,21.35152244567871
2010-10-28,21.632619857788086
2010-10-29,21.263673782348633
2010-11-01,21.228538513183594
2010-11-02,21.439361572265625
2010-11-03,21.380800247192383
2010-11-04,21.46278190612793
