Date,POOL
2010-09-29,16.909503936767578
2010-09-30,16.554819107055664
2010-10-01,16.695037841796875
2010-10-04,16.307353973388672
2010-10-05,16.983747482299805
2010-10-06,17.000240325927734
2010-10-07,17.057971954345703
2010-10-08,17.198200225830078
2010-10-11,17.288936614990234
2010-10-12,16.860015869140625
2010-10-13,16.91775131225586
2010-10-14,17.132213592529297
2010-10-15,17.12396240234375
2010-10-18,17.255935668945312
2010-10-19,17.198200225830078
2010-10-20,17.24769401550293
2010-10-21,16.950742721557617
2010-10-22,16.950742721557617
2010-10-25,16.71978759765625
2010-10-26,16.61255645751953
2010-10-27,16.6538028717041
2010-10-28,16.62905502319336
2010-10-29,16.61255645751953
2010-11-01,16.530073165893555
2010-11-02,16.901260375976562
2010-11-03,16.88475799560547
