Date,MAR
2010-09-29,28.86572265625
2010-09-30,28.833532333374023
2010-10-01,29.19567108154297
2010-10-04,29.533655166625977
2010-10-05,30.426904678344727
2010-10-06,30.4671573638916
2010-10-07,28.704788208007812
2010-10-08,29.107145309448242
2010-10-11,28.704788208007812
2010-10-12,28.777206420898438
2010-10-13,28.970354080200195
2010-10-14,28.914011001586914
2010-10-15,28.648448944091797
2010-10-18,28.559932708740234
2010-10-19,28.18975257873535
2010-10-20,28.994483947753906
2010-10-21,29.15542984008789
2010-10-22,30.008447647094727
2010-10-25,30.233766555786133
2010-10-26,30.394718170166016
2010-10-27,30.34642791748047
2010-10-28,30.193527221679688
2010-10-29,29.8153018951416
2010-11-01,30.121116638183594
2010-11-02,30.531513214111328
2010-11-03,30.595890045166016
2010-11-04,31.50523567199707
