Date,MOS
2010-09-29,47.073673248291016
2010-09-30,45.37480545043945
2010-10-01,46.03890609741211
2010-10-04,45.39797592163086
2010-10-05,46.95011901855469
2010-10-06,47.11228942871094
2010-10-07,47.513824462890625
2010-10-08,50.664432525634766
2010-10-11,51.45208740234375
2010-10-12,52.62583541870117
2010-10-13,52.556339263916016
2010-10-14,51.39031219482422
2010-10-15,52.811161041259766
2010-10-18,51.475250244140625
2010-10-19,49.7068977355957
2010-10-20,51.8304557800293
2010-10-21,51.35942459106445
2010-10-22,50.93470001220703
2010-10-25,52.5099983215332
2010-10-26,55.1663818359375
2010-10-27,54.517738342285156
2010-10-28,54.35558319091797
2010-10-29,56.49460983276367
2010-11-01,55.853660583496094
2010-11-02,55.45955276489258
2010-11-03,54.3931770324707
2010-11-04,54.895469665527344
