Date,ROL
2010-09-17,3.5781564712524414
2010-09-20,3.6950268745422363
2010-09-21,3.6005702018737793
2010-09-22,3.6149775981903076
2010-09-23,3.5029101371765137
2010-09-24,3.6421940326690674
2010-09-27,3.613377332687378
2010-09-28,3.688622236251831
2010-09-29,3.6918246746063232
2010-09-30,3.743055582046509
2010-10-01,3.7126359939575195
2010-10-04,3.661406993865967
2010-10-05,3.794285297393799
2010-10-06,3.8583250045776367
2010-10-07,3.848719358444214
2010-10-08,3.903151750564575
2010-10-11,3.901552438735962
2010-10-12,3.851921319961548
2010-10-13,3.9575846195220947
2010-10-14,3.920762062072754
2010-10-15,3.9159598350524902
2010-10-18,3.992807388305664
2010-10-19,3.927165985107422
2010-10-20,4.012017250061035
2010-10-21,3.9671900272369385
2010-10-22,3.994405746459961
