Date,STZ
2010-09-29,15.331903457641602
2010-09-30,15.262877464294434
2010-10-01,15.331903457641602
2010-10-04,15.236989974975586
2010-10-05,15.323277473449707
2010-10-06,15.978997230529785
2010-10-07,16.099788665771484
2010-10-08,16.14293098449707
2010-10-11,16.488056182861328
2010-10-12,16.401769638061523
2010-10-13,16.462169647216797
2010-10-14,16.410398483276367
2010-10-15,16.410398483276367
2010-10-18,16.746889114379883
2010-10-19,16.453536987304688
2010-10-20,16.660608291625977
2010-10-21,16.67786979675293
2010-10-22,16.643356323242188
2010-10-25,16.824539184570312
2010-10-26,16.695119857788086
2010-10-27,16.358633041381836
2010-10-28,16.427656173706055
2010-10-29,17.022979736328125
2010-11-01,16.953964233398438
2010-11-02,16.841794967651367
2010-11-03,16.850425720214844
2010-11-04,17.212793350219727
