Date,WDC
2010-09-29,17.400972366333008
2010-09-30,17.195049285888672
2010-10-01,17.11025047302246
2010-10-04,16.94066047668457
2010-10-05,17.431259155273438
2010-10-06,16.89826774597168
2010-10-07,17.170814514160156
2010-10-08,17.50394058227539
2010-10-11,17.673524856567383
2010-10-12,17.818885803222656
2010-10-13,17.970306396484375
2010-10-14,17.861282348632812
2010-10-15,19.314899444580078
2010-10-18,19.060516357421875
2010-10-19,18.29130744934082
2010-10-20,18.473011016845703
2010-10-21,18.5032958984375
2010-10-22,18.43061637878418
2010-10-25,18.436670303344727
2010-10-26,18.745567321777344
2010-10-27,19.133195877075195
2010-10-28,19.078685760498047
2010-10-29,19.3875789642334
2010-11-01,19.757038116455078
2010-11-02,19.993249893188477
2010-11-03,20.156784057617188
2010-11-04,20.338485717773438
