Date,APA
2010-09-29,73.39192199707031
2010-09-30,73.1897964477539
2010-10-01,73.57910919189453
2010-10-04,72.62825012207031
2010-10-05,74.04326629638672
2010-10-06,74.68712615966797
2010-10-07,74.60478973388672
2010-10-08,76.01226806640625
2010-10-11,76.37162780761719
2010-10-12,76.0422134399414
2010-10-13,77.32992553710938
2010-10-14,77.28501892089844
2010-10-15,77.96626281738281
2010-10-18,79.62083435058594
2010-10-19,76.5737533569336
2010-10-20,77.52597045898438
2010-10-21,77.20358276367188
2010-10-22,75.95146942138672
2010-10-25,75.77901458740234
2010-10-26,75.254150390625
2010-10-27,75.35912322998047
2010-10-28,75.24667358398438
2010-10-29,75.74151611328125
2010-11-01,75.72649383544922
2010-11-02,77.31604766845703
2010-11-03,76.91116333007812
2010-11-04,80.81744384765625
