Date,ED
2010-09-29,27.455839157104492
2010-09-30,27.336782455444336
2010-10-01,27.399145126342773
2010-10-04,27.25174331665039
2010-10-05,27.444501876831055
2010-10-06,27.319780349731445
2010-10-07,27.30843162536621
2010-10-08,27.365137100219727
2010-10-11,27.34245491027832
2010-10-12,27.336782455444336
2010-10-13,27.325437545776367
2010-10-14,27.467172622680664
2010-10-15,27.552213668823242
2010-10-18,27.829999923706055
2010-10-19,27.68826675415039
2010-10-20,27.841341018676758
2010-10-21,27.710962295532227
2010-10-22,27.847007751464844
2010-10-25,27.89236068725586
2010-10-26,28.03975486755371
2010-10-27,28.19850730895996
2010-10-28,28.260854721069336
2010-10-29,28.18715476989746
2010-11-01,28.153146743774414
2010-11-02,28.759737014770508
2010-11-03,28.623685836791992
2010-11-04,28.844783782958984
