Date,K
2010-05-28,30.722782135009766
2010-06-01,30.814794540405273
2010-06-02,31.59105682373047
2010-06-03,31.688796997070312
2010-06-04,30.60205078125
2010-06-07,30.757287979125977
2010-06-08,31.251787185668945
2010-06-09,31.039043426513672
2010-06-10,31.24030113220215
2010-06-11,30.855039596557617
2010-06-14,31.320789337158203
2010-06-15,31.407047271728516
2010-06-16,31.1655330657959
2010-06-17,31.510549545288086
2010-06-18,31.320789337158203
2010-06-21,31.027538299560547
2010-06-22,30.75153350830078
2010-06-23,30.69402313232422
2010-06-24,30.395030975341797
2010-06-25,30.142026901245117
2010-06-28,30.19377899169922
2010-06-29,29.75676155090332
2010-06-30,28.923011779785156
2010-07-01,29.193252563476562
2010-07-02,29.135759353637695
2010-07-06,29.50375747680664
2010-07-07,29.894775390625
2010-07-08,29.866024017333984
2010-07-09,29.76826286315918
2010-07-12,29.687772750854492
2010-07-13,29.87175941467285
2010-07-14,29.93501853942871
2010-07-15,29.837278366088867
2010-07-16,29.354270935058594
2010-07-19,29.50375747680664
2010-07-20,29.69352149963379
2010-07-21,29.406017303466797
2010-07-22,29.095518112182617
2010-07-23,29.38300132751465
2010-07-26,29.52101707458496
2010-07-27,30.17652702331543
2010-07-28,29.62451934814453
2010-07-29,27.5889835357666
2010-07-30,28.779253005981445
2010-08-02,28.75050163269043
2010-08-03,28.560745239257812
2010-08-04,29.187517166137695
2010-08-05,28.67576026916504
2010-08-06,28.83675193786621
2010-08-09,29.20475959777832
2010-08-10,29.76826286315918
2010-08-11,29.27952003479004
2010-08-12,28.963258743286133
2010-08-13,29.118507385253906
2010-08-16,29.285255432128906
2010-08-17,29.440509796142578
2010-08-18,29.30251121520996
2010-08-19,28.670005798339844
2010-08-20,28.60675621032715
2010-08-23,28.698749542236328
2010-08-24,28.589509963989258
2010-08-25,28.5205020904541
2010-08-26,28.411237716674805
2010-08-27,29.032255172729492
2010-08-30,28.58301544189453
2010-08-31,28.79749870300293
2010-09-01,28.925012588500977
2010-09-02,28.994577407836914
2010-09-03,29.220645904541016
2010-09-07,29.023561477661133
2010-09-08,29.30759620666504
2010-09-09,29.49888801574707
2010-09-10,29.719146728515625
2010-09-13,29.742340087890625
2010-09-14,29.394550323486328
2010-09-15,29.562637329101562
2010-09-16,29.55105972290039
2010-09-17,29.319196701049805
2010-09-20,29.458311080932617
2010-09-21,29.19165802001953
2010-09-22,29.429319381713867
2010-09-23,29.30759620666504
2010-09-24,29.562637329101562
2010-09-27,29.33657455444336
2010-09-28,29.365562438964844
2010-09-29,29.342370986938477
2010-09-30,29.278615951538086
2010-10-01,29.510475158691406
2010-10-04,29.319196701049805
2010-10-05,29.35396385192871
2010-10-06,29.267019271850586
2010-10-07,29.098915100097656
2010-10-08,28.965608596801758
2010-10-11,28.878646850585938
2010-10-12,29.000381469726562
2010-10-13,29.452510833740234
2010-10-14,29.197465896606445
2010-10-15,29.029359817504883
2010-10-18,29.04096031188965
2010-10-19,28.925012588500977
2010-10-20,28.994577407836914
2010-10-21,28.838085174560547
2010-10-22,28.72214126586914
2010-10-25,28.73372459411621
2010-10-26,28.554035186767578
2010-10-27,28.449705123901367
2010-10-28,28.62359619140625
2010-10-29,29.13370704650879
2010-11-01,29.417724609375
2010-11-02,28.803298950195312
2010-11-03,28.73372459411621
2010-11-04,28.58301544189453
