Date,FAST
2010-09-24,4.632499694824219
2010-09-27,4.584795951843262
2010-09-28,4.666325569152832
2010-09-29,4.653315544128418
2010-09-30,4.6134185791015625
2010-10-01,4.6298980712890625
2010-10-04,4.5657124519348145
2010-10-05,4.68280553817749
2010-10-06,4.68020486831665
2010-10-07,4.6567864418029785
2010-10-08,4.7287750244140625
2010-10-11,4.748723983764648
2010-10-12,4.513673305511475
2010-10-13,4.575254440307617
2010-10-14,4.571785926818848
2010-10-15,4.5188775062561035
2010-10-18,4.500661849975586
2010-10-19,4.4815802574157715
2010-10-20,4.54489803314209
2010-10-21,4.588264465332031
2010-10-22,4.588264465332031
2010-10-25,4.563978672027588
2010-10-26,4.5535712242126465
2010-10-27,4.450357437133789
2010-10-28,4.454693794250488
2010-10-29,4.46510124206543
