Date,CMCSA
2010-09-27,6.636537075042725
2010-09-28,6.64741325378418
2010-09-29,6.578543186187744
2010-09-30,6.553173542022705
2010-10-01,6.45893669128418
2010-10-04,6.435250282287598
2010-10-05,6.584652900695801
2010-10-06,6.471688270568848
2010-10-07,6.5190606117248535
2010-10-08,6.555500507354736
2010-10-11,6.566431522369385
2010-10-12,6.566431522369385
2010-10-13,6.610159873962402
2010-10-14,6.697616100311279
2010-10-15,6.9053215980529785
2010-10-18,6.927184581756592
2010-10-19,6.963624477386475
2010-10-20,7.062014102935791
2010-10-21,7.1093831062316895
2010-10-22,7.091166019439697
2010-10-25,7.204126834869385
2010-10-26,7.156756401062012
2010-10-27,7.38632869720459
2010-10-28,7.601319789886475
2010-10-29,7.517510414123535
2010-11-01,7.470137596130371
