Date,STE
2010-09-29,27.148386001586914
2010-09-30,27.19750213623047
2010-10-01,27.36943817138672
2010-10-04,26.870019912719727
2010-10-05,27.696908950805664
2010-10-06,27.827917098999023
2010-10-07,27.94252586364746
2010-10-08,27.983455657958984
2010-10-11,27.96709442138672
2010-10-12,27.9261531829834
2010-10-13,28.139013290405273
2010-10-14,28.278202056884766
2010-10-15,28.024402618408203
2010-10-18,28.081703186035156
2010-10-19,27.30393409729004
2010-10-20,27.598670959472656
2010-10-21,27.598670959472656
2010-10-22,27.78697395324707
2010-10-25,28.057146072387695
2010-10-26,28.057146072387695
2010-10-27,27.77878761291504
2010-10-28,27.868837356567383
2010-10-29,28.016216278076172
2010-11-01,28.081703186035156
2010-11-02,28.85947608947754
2010-11-03,28.384628295898438
2010-11-04,28.58112335205078
