Date,SBUX
2010-09-29,9.859567642211914
2010-09-30,9.764034271240234
2010-10-01,9.913073539733887
2010-10-04,9.81753158569336
2010-10-05,10.03154182434082
2010-10-06,9.97421932220459
2010-10-07,9.96275520324707
2010-10-08,9.96275520324707
2010-10-11,9.932185173034668
2010-10-12,10.371658325195312
2010-10-13,10.417513847351074
2010-10-14,10.4824800491333
2010-10-15,10.524518013000488
2010-10-18,10.451910972595215
2010-10-19,10.34872817993164
2010-10-20,10.490124702453613
2010-10-21,10.42898178100586
2010-10-22,10.887565612792969
2010-10-25,10.849349021911621
2010-10-26,10.902849197387695
2010-10-27,10.799670219421387
2010-10-28,10.788202285766602
2010-10-29,10.914314270019531
2010-11-01,11.009857177734375
2010-11-02,11.03660774230957
2010-11-03,11.120678901672363
