Date,SLB
2010-09-29,43.103763580322266
2010-09-30,43.16681671142578
2010-10-01,43.74134826660156
2010-10-04,42.879554748535156
2010-10-05,44.11269760131836
2010-10-06,44.231807708740234
2010-10-07,44.133705139160156
2010-10-08,44.53307342529297
2010-10-11,44.49104309082031
2010-10-12,43.90249252319336
2010-10-13,45.27576446533203
2010-10-14,45.02355194091797
2010-10-15,45.19170379638672
2010-10-18,45.198692321777344
2010-10-19,44.238807678222656
2010-10-20,45.044551849365234
2010-10-21,45.058555603027344
2010-10-22,47.48279571533203
2010-10-25,48.01529312133789
2010-10-26,48.42167663574219
2010-10-27,48.51274490356445
2010-10-28,48.891109466552734
2010-10-29,48.96816635131836
2010-11-01,49.164337158203125
2010-11-02,50.075191497802734
2010-11-03,50.59368133544922
